variant,week,date,seed,revenue_usd,rebound_usd,penalty_usd,dwear_usd,shortfall_kWh,mv,sum_q_kW,delivery_ratio,warm,viol_K
ctxfree,w03-jan-scarcity,2024-01-14,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0
single005,w03-jan-scarcity,2024-01-14,19,1.1709686025085206,0.05671815508424061,0.0,-6.078547445169207,0.0,7.192797892593603,86.54609035539696,,0,0.0
ctxfree,w03-jan-scarcity,2024-01-14,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0
single005,w03-jan-scarcity,2024-01-15,0,181.23448656710198,-2.125179352600071,0.0,-31.03971674183242,0.0,214.39938266153445,757.2828229643818,1.0,0,0.0
ctxfree,w03-jan-scarcity,2024-01-15,0,171.24239917651775,-1.9443520042483442,0.0,-30.15046600532296,0.0,203.3372171860891,812.6222022086596,1.0,0,0.0
single005,w03-jan-scarcity,2024-01-15,1,181.23448656710198,-0.4812473101175101,0.0,-19.850047606849998,0.0,201.56578148406948,757.2828229643818,1.0,1,0.0
ctxfree,w03-jan-scarcity,2024-01-15,1,171.24239917651775,-0.49878839876794245,0.0,-19.40877082453791,0.0,191.14995839982367,812.6222022086596,1.0,1,0.0
single005,w03-jan-scarcity,2024-01-15,2,181.23448656710198,-0.3789810727269014,0.0,-13.231153925950409,0.0,194.84462156577933,757.2828229643818,1.0,3,0.0
ctxfree,w03-jan-scarcity,2024-01-15,2,171.24239917651775,-0.46288185812898064,0.0,-16.20559966492482,0.0,187.91088069957163,812.6222022086596,1.0,3,0.0
single005,w03-jan-scarcity,2024-01-15,3,181.23448656710198,-1.1243950743476034,0.0,-35.45754256888374,0.0,217.81642421033325,757.2828229643818,1.0,2,0.0
ctxfree,w03-jan-scarcity,2024-01-15,3,171.24239917651775,-1.080635834049417,0.0,-34.43657106950357,0.0,206.75960608007074,812.6222022086596,1.0,2,0.0
single005,w03-jan-scarcity,2024-01-15,4,181.23448656710198,-0.7854351312336121,0.0,-30.46363146026256,0.0,212.48355315859806,757.2828229643818,1.0,1,0.0
ctxfree,w03-jan-scarcity,2024-01-15,4,171.24239917651775,-0.4883586863994651,0.0,-33.72935693363718,0.0,205.46011479655442,812.6222022086596,1.0,1,0.0
single005,w03-jan-scarcity,2024-01-15,5,181.23448656710198,-2.268552186408897,0.0,-14.080212507063806,0.0,197.58325126057468,757.2828229643818,1.0,2,0.0
ctxfree,w03-jan-scarcity,2024-01-15,5,171.24239917651775,-2.0290815478132345,0.0,-18.084406030944663,0.0,191.35588675527572,812.6222022086596,1.0,2,0.0
single005,w03-jan-scarcity,2024-01-15,6,181.23448656710198,0.5097677660528461,0.0,-62.0036601434504,0.0,242.72837894449947,757.2828229643818,,0,0.0
ctxfree,w03-jan-scarcity,2024-01-15,6,171.24239917651775,0.5097677660528461,0.0,-62.0036601434504,0.0,232.7362915539153,812.6222022086596,,0,0.0
