week,controller,mv_mean,mv_std,sum_q_kW,delivery_ratio,penalty_usd,rebound_usd,viol_days,viol_max_K,clip_events,switches,infeas
w03-jan-scarcity,B1,0.0,0.0,0.0,,0.0,0.0,0,0.0,21.15,0.0,0.0
w03-jan-scarcity,B2,216.09988555221665,337.1693503610534,1219.8692438440482,0.9769716247353886,2.251890808031796,-0.16509375339914384,59,12.901382350532842,20.0,0.0,0.6571428571428571
w03-jan-scarcity,B3,123.99133324484842,190.55382287428807,685.5399565147751,0.999990434774804,0.002144959445026659,-0.8212519315163752,0,0.0,18.821428571428573,0.0,0.4857142857142857
w03-jan-scarcity,B4,117.17038661612044,177.7619555804846,618.2535657898444,1.0,0.0,-1.314619133472242,0,0.0,18.642857142857142,0.0,0.5642857142857143
w03-jan-scarcity,B5,76.46434473526854,126.40059310466236,764.2857142857143,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
w03-jan-scarcity,B6,166.23971428571429,255.50238567060592,871.4285714285714,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
w07-feb,B1,0.0,0.0,0.0,,0.0,0.0,0,0.0,21.257142857142856,0.0,0.0
w07-feb,B2,1.1440057515733117,9.828616346982162,275.18935803889303,0.9931606763475663,0.004638384414539875,-0.2190373123095135,11,7.121887106158368,20.885714285714286,0.0,0.07857142857142857
w07-feb,B3,1.806774815495193,3.9056352925581863,134.00378866399836,1.0,0.0,-0.408647027741249,0,0.0,20.52857142857143,0.0,0.04285714285714286
w07-feb,B4,1.335458096389335,3.3898833279119307,121.30434477764061,1.0,0.0,-0.08126919573886886,0,0.0,20.714285714285715,0.0,0.04285714285714286
w07-feb,B5,-5.782816971080671,1.2370832357802943,1021.4285714285714,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
w07-feb,B6,0.8035714285714287,2.4725679632703224,71.42857142857143,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
w11-mar,B1,0.0,0.0,0.0,,0.0,0.0,0,0.0,21.557142857142857,0.0,0.0
w11-mar,B2,5.93055442397188,15.85875618910264,350.25399318320115,0.9888309301806704,0.024595610561644977,-0.9023791692049953,27,7.619784442179196,21.135714285714286,0.0,0.17142857142857143
w11-mar,B3,1.7852047478858373,4.993376133013969,111.8004319630747,1.0,0.0,-0.3030174836183868,0,0.0,21.257142857142856,0.0,0.1357142857142857
w11-mar,B4,0.10179772410787642,2.339367081114501,29.179199127214073,1.0,0.0,-0.20406806971417513,0,0.0,21.42142857142857,0.0,0.02857142857142857
