week,controller,mv_mean,mv_std,sum_q_kW,delivery_ratio,penalty_usd,rebound_usd,viol_days,viol_max_K,clip_events,switches,infeas
humid,B1,0.0,0.0,0.0,,0.0,0.0,1,0.017554779568797585,10.67142857142857,0.0,0.0
humid,B2,491.749165393348,404.10079081001686,708.9051549038625,0.9544297181166863,2.376119153225069,-22.225181521451287,74,12.40128180949651,14.792857142857143,0.9428571428571428,1.0357142857142858
humid,B3,69.95742996407017,64.8102270787042,111.26238793804337,0.9989949447651901,0.0024896055209682826,-2.8384961701593334,1,0.017554779568797585,12.164285714285715,0.17857142857142858,0.3
humid,B4,3.55306689303449,8.798600808132628,15.875597839645437,1.0,0.0,-0.11673598096538841,1,0.017554779568797585,11.228571428571428,0.02142857142857143,0.07857142857142857
humid,B5,275.38717658050666,214.0746622633716,792.8571428571429,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
humid,B6,583.8997142857144,459.48932371803056,1028.5714285714287,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
mild,B1,0.0,0.0,0.0,,0.0,0.0,0,0.0,1.3928571428571428,0.0,0.0
mild,B2,5.050870604572573,7.139706892089678,101.2325643445024,0.9769367859816063,0.020668603675632558,-0.821223816748491,9,13.11062891509998,2.2285714285714286,0.07857142857142857,0.1
mild,B3,1.8829788652470154,3.68619653416062,17.626777864115308,1.0,0.0,-0.18758074809508482,0,0.0,1.9071428571428573,0.007142857142857143,0.02142857142857143
mild,B4,0.0,0.0,0.0,,0.0,0.0,0,0.0,1.3928571428571428,0.0,0.0
mild,B5,-4.275942467112416,3.119678324186045,807.1428571428571,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
mild,B6,3.7302857142857135,6.2943499436196015,200.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
scarcity,B1,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,0.0,0.0
scarcity,B2,166.17962099257565,249.53543516479417,731.7759131720367,0.970990605297077,1.0308006119686006,-6.784144800900158,50,13.119457796279491,5.6,0.7785714285714286,0.7857142857142857
scarcity,B3,47.22801472341779,67.01334989457268,216.5993664216755,0.9930745463551207,0.13717013060732366,-2.7978814491034885,0,0.0,4.857142857142857,0.21428571428571427,0.75
scarcity,B4,26.026669509575115,35.85498676313734,78.13206188040736,0.997152024052851,0.06975847545818586,-1.0565345242989235,0,0.0,2.5285714285714285,0.05714285714285714,0.39285714285714285
scarcity,B5,77.1619047551098,127.3454740732199,764.2857142857143,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
scarcity,B6,166.079,254.88068782536453,871.4285714285714,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
