week,date,seed,controller,sum_q_kW,revenue_usd,rt_cost_usd,penalty_usd,degradation_usd,profit_usd,shortfall_kWh,delivery_ratio,n_obligations,n_delivery_failures,n_fail_warm_start,n_fail_out_of_box,n_fail_clean_in_box,n_warm_starts,T_viol_K,clip_events,mpc_switches,infeasible_starts,market_value_usd,rebound_energy_usd,source,scale
w03-jan-scarcity,2024-01-14,3,B6,300.0,4.088,7.5,0.0,0.0,-3.412,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-3.412,0.0,alibaba,1.0
w03-jan-scarcity,2024-01-14,4,B1,0.0,0.0,444.99762743882894,0.0,140.7477298626955,-585.7453573015245,0.0,,0,0,0,0,0,0,0.0,22,0,0,0.0,0.0,alibaba,1.0
w03-jan-scarcity,2024-01-14,4,B2,517.520285267172,6.955472633990791,444.3632048455535,0.0,120.60434162998551,-558.0120738415483,0.0,,0,0,0,0,0,0,0.0,22,0,0,27.733283459976178,-0.6344225932754171,alibaba,1.0
w03-jan-scarcity,2024-01-14,4,B3,129.41990813629752,1.1447985921229167,445.1131147168267,0.0,129.3007653116543,-573.2690814363581,0.0,,0,0,0,0,0,0,0.0,22,0,0,12.476275865166372,0.11548727799777225,alibaba,1.0
w03-jan-scarcity,2024-01-14,4,B4,0.0,0.0,444.99762743882894,0.0,140.7477298626955,-585.7453573015245,0.0,,0,0,0,0,0,0,0.0,22,0,0,0.0,0.0,alibaba,1.0
w03-jan-scarcity,2024-01-14,4,B5,200.0,2.094,0.0,0.0,0.0,-6.125178082191782,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-6.125178082191782,0.0,alibaba,1.0
w03-jan-scarcity,2024-01-14,4,B6,300.0,4.088,0.0,0.0,0.0,4.088,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,4.088,0.0,alibaba,1.0
w03-jan-scarcity,2024-01-14,5,B1,0.0,0.0,454.74842136541696,0.0,200.21916266000784,-654.9675840254248,0.0,,0,0,0,0,0,0,0.0,23,0,0,0.0,0.0,alibaba,1.0
w03-jan-scarcity,2024-01-14,5,B2,517.520285267172,6.955472633990791,454.5112598331066,0.20306928009931202,218.22261079083773,-665.9814672700529,7.6055910149555075,0.9412151273565704,1,1,0,0,0,1,1.5149693071485046,23,0,1,-11.013883244628119,-0.23716153231038106,alibaba,1.0
w03-jan-scarcity,2024-01-14,5,B3,129.41990813629752,1.1447985921229167,454.84986392162523,0.0,192.1216406920233,-645.8267060215256,0.0,,0,0,0,0,0,0,0.0,23,0,0,9.14087800389916,0.10144255620826925,alibaba,1.0
