week,date,seed,controller,sum_q_kW,revenue_usd,rt_cost_usd,penalty_usd,degradation_usd,profit_usd,shortfall_kWh,delivery_ratio,n_obligations,n_delivery_failures,T_viol_K,clip_events,mpc_switches,infeasible_starts,market_value_usd,rebound_energy_usd
mild,2024-04-01,5,B2,60.17189456657972,1.5175351809691402,101.29334414513492,0.0,41.67958140467319,-141.45539036883898,0.0,,0,0,0.0,7,0,0,2.761199064758415,-0.04867431256947441
mild,2024-04-01,5,B3,0.0,0.0,101.32512466816199,0.0,42.42587217883347,-143.75099684699546,0.0,,0,0,0.0,6,0,0,0.4655925866019288,-0.016893789542407944
mild,2024-04-01,5,B4,0.0,0.0,101.3420184577044,0.0,42.87457097589298,-144.2165894335974,0.0,,0,0,0.0,6,0,0,0.0,0.0
mild,2024-04-01,5,B5,950.0,7.651000000000001,1.4548611111111112,0.0,0.0,-2.0230391933028926,0.0,1.0,0,0,0.0,0,0,0,-2.0230391933028926,0.0
mild,2024-04-01,5,B6,500.0,10.027,7.5,0.0,0.0,2.5269999999999992,0.0,1.0,0,0,0.0,0,0,0,2.5269999999999992,0.0
mild,2024-04-01,6,B1,0.0,0.0,101.27486436401863,0.0,45.27306882660519,-146.5479331906238,0.0,,0,0,0.0,2,0,0,0.0,0.0
mild,2024-04-01,6,B2,60.17189456657972,1.5175351809691402,101.22274594343092,0.0,43.04680717889673,-142.75201794135853,0.0,,0,0,0.0,3,0,0,3.7959152492652777,-0.05211842058770344
mild,2024-04-01,6,B3,0.0,0.0,101.2580100882759,0.0,44.56278966307807,-145.82079975135397,0.0,,0,0,0.0,2,0,0,0.727133439269835,-0.01685427574273035
mild,2024-04-01,6,B4,0.0,0.0,101.27486436401863,0.0,45.27306882660519,-146.5479331906238,0.0,,0,0,0.0,2,0,0,0.0,0.0
mild,2024-04-01,6,B5,950.0,7.651000000000001,1.0074305555555556,0.0,0.0,-1.5756086377473366,0.0,1.0,0,0,0.0,0,0,0,-1.5756086377473366,0.0
mild,2024-04-01,6,B6,500.0,10.027,0.0,0.0,0.0,10.027,0.0,1.0,0,0,0.0,0,0,0,10.027,0.0
mild,2024-04-01,7,B1,0.0,0.0,100.27084977735802,0.0,35.296145735085766,-135.56699551244378,0.0,,0,0,0.0,3,0,0,0.0,0.0
mild,2024-04-01,7,B2,60.17189456657972,1.5175351809691402,100.21669647739898,0.0,33.35333905983156,-132.05250035626142,0.0,,0,0,0.0,4,0,0,3.514495156182363,-0.05415329995904017
mild,2024-04-01,7,B3,0.0,0.0,100.25399550165712,0.0,34.52536069646528,-134.7793561981224,0.0,,0,0,0.0,3,0,0,0.7876393143213818,-0.016854275700907806
mild,2024-04-01,7,B4,0.0,0.0,100.27084977735802,0.0,35.296145735085766,-135.56699551244378,0.0,,0,0,0.0,3,0,0,0.0,0.0
mild,2024-04-01,7,B5,950.0,7.651000000000001,1.1961111111111113,0.0,0.0,-1.7642891933028926,0.0,1.0,0,0,0.0,0,0,0,-1.7642891933028926,0.0
mild,2024-04-01,7,B6,500.0,10.027,7.5,0.0,0.0,2.5269999999999992,0.0,1.0,0,0,0.0,0,0,0,2.5269999999999992,0.0
mild,2024-04-01,8,B1,0.0,0.0,103.26602520217453,0.0,99.60179970001184,-202.86782490218638,0.0,,0,0,0.0,1,0,0,0.0,0.0
mild,2024-04-01,8,B2,60.17189456657972,1.5175351809691402,103.21308588337799,0.0,95.78880173784201,-197.48435244025086,0.0,,0,0,0.0,2,0,0,5.383472461935526,-0.052939318796546786
mild,2024-04-01,8,B3,0.0,0.0,103.24917092733993,0.0,98.60935140124933,-201.85852232858926,0.0,,0,0,0.0,1,0,0,1.0093025735971253,-0.01685427483459989
mild,2024-04-01,8,B4,0.0,0.0,103.26602520217453,0.0,99.60179970001184,-202.86782490218638,0.0,,0,0,0.0,1,0,0,0.0,0.0
mild,2024-04-01,8,B5,950.0,7.651000000000001,0.0,0.0,0.0,-0.568178082191781,0.0,1.0,0,0,0.0,0,0,0,-0.568178082191781,0.0
mild,2024-04-01,8,B6,500.0,10.027,0.0,0.0,0.0,10.027,0.0,1.0,0,0,0.0,0,0,0,10.027,0.0
mild,2024-04-01,9,B1,0.0,0.0,101.3636114420244,0.0,52.98238919059128,-154.3460006326157,0.0,,0,0,0.0,7,0,0,0.0,0.0
mild,2024-04-01,9,B2,60.17189456657972,1.5175351809691402,101.31194516644484,0.0,51.20523074872859,-150.9996407342043,0.0,,0,0,0.0,8,0,0,3.346359898411407,-0.0516662755795636
mild,2024-04-01,9,B3,0.0,0.0,101.34675718697675,0.0,52.16105772349383,-153.5078149104706,0.0,,0,0,0.0,7,0,0,0.8381857221451128,-0.01685425504766158
mild,2024-04-01,9,B4,0.0,0.0,101.3636114420244,0.0,52.98238919059128,-154.3460006326157,0.0,,0,0,0.0,7,0,0,0.0,0.0
mild,2024-04-01,9,B5,950.0,7.651000000000001,1.3375694444444444,0.0,0.0,-1.9057475266362252,0.0,1.0,0,0,0.0,0,0,0,-1.9057475266362252,0.0
mild,2024-04-01,9,B6,500.0,10.027,15.0,0.0,0.0,-4.973000000000001,0.0,1.0,0,0,0.0,0,0,0,-4.973000000000001,0.0
mild,2024-04-01,10,B1,0.0,0.0,102.21385560965287,0.0,70.66603956167876,-172.8798951713316,0.0,,0,0,0.0,3,0,0,0.0,0.0
mild,2024-04-01,10,B2,60.17189456657972,1.5175351809691402,102.1608729566488,0.0,68.2553901631647,-168.8987279388444,0.0,,0,0,0.0,3,0,0,3.9811672324872234,-0.05298265300406513
mild,2024-04-01,10,B3,0.0,0.0,102.19700133391011,0.0,70.32932449420814,-172.52632582811825,0.0,,0,0,0.0,3,0,0,0.35356934321336553,-0.016854275742758773
mild,2024-04-01,10,B4,0.0,0.0,102.21385560965287,0.0,70.66603956167876,-172.8798951713316,0.0,,0,0,0.0,3,0,0,0.0,0.0
mild,2024-04-01,10,B5,950.0,7.651000000000001,0.5985416666666666,0.0,0.0,-1.1667197488584478,0.0,1.0,0,0,0.0,0,0,0,-1.1667197488584478,0.0
mild,2024-04-01,10,B6,500.0,10.027,0.0,0.0,0.0,10.027,0.0,1.0,0,0,0.0,0,0,0,10.027,0.0
mild,2024-04-01,11,B1,0.0,0.0,102.52195201307987,0.0,74.63042268515468,-177.15237469823455,0.0,,0,0,0.0,2,0,0,0.0,0.0
mild,2024-04-01,11,B2,60.17189456657972,1.5175351809691402,102.46821323894449,0.0,71.89390831581089,-172.84458637378623,0.0,,0,0,0.0,3,0,0,4.307788324448325,-0.05373877413538253
mild,2024-04-01,11,B3,0.0,0.0,102.50509773733704,0.0,73.85138687637618,-176.35648461371323,0.0,,0,0,0.0,2,0,0,0.7958900845213179,-0.016854275742829827
mild,2024-04-01,11,B4,0.0,0.0,102.52195201307987,0.0,74.63042268515468,-177.15237469823455,0.0,,0,0,0.0,2,0,0,0.0,0.0
mild,2024-04-01,11,B5,950.0,7.651000000000001,1.0305555555555554,0.0,0.0,-1.598733637747337,0.0,1.0,0,0,0.0,0,0,0,-1.598733637747337,0.0
mild,2024-04-01,11,B6,500.0,10.027,7.5,0.0,0.0,2.5269999999999992,0.0,1.0,0,0,0.0,0,0,0,2.5269999999999992,0.0
mild,2024-04-01,12,B1,0.0,0.0,102.89283429313998,0.0,98.37414132187492,-201.2669756150149,0.0,,0,0,0.0,2,0,0,0.0,0.0
mild,2024-04-01,12,B2,60.17189456657972,1.5175351809691402,102.84546078936498,0.0,96.11482250572271,-197.44274811411856,0.0,,0,0,0.0,3,0,0,3.824227500896342,-0.04737350377500604
