T_dew,F_kW,Ft30_kW,Ft15_kW,Ft30_uniform_kW
8.0,258.860142633586,109.95714354451248,124.50032259873946,73.9747456553327
10.0,258.860142633586,99.75518041846078,124.50032259873946,62.09574749486136
12.0,258.860142633586,74.59965490216872,124.50032259873946,36.94022197856916
14.0,258.860142633586,49.44412938587704,113.81589674430087,11.784696462277491
16.0,258.860142633586,24.288603869585124,63.505240233876535,0.0
18.0,233.70481705386703,0.0,4.775880833889866,0.0
20.0,208.54949147409764,0.0,0.0,0.0
22.0,183.39416589437343,0.0,0.0,0.0
24.0,158.23884031453267,0.0,0.0,0.0
26.0,132.7871682940947,0.0,0.0,0.0
