week,controller,mv_mean,mv_std,sum_q_kW,delivery_ratio,penalty_usd,rebound_usd,viol_days,viol_max_K,clip_events,switches,infeas
w03-jan-scarcity,B1,0.0,0.0,0.0,,0.0,0.0,0,0.0,21.3,0.0,0.0
w03-jan-scarcity,B2,222.74301780745307,339.0673484000764,1219.8692438440482,0.7894402997376756,11.221638528471997,-0.32282180498345586,57,11.623100182171086,20.957142857142856,0.0,0.6142857142857143
w03-jan-scarcity,B3,142.93328811958753,211.09787226830468,627.4535636544433,0.9049351921962088,3.5368685415462133,2.2266418932121717,10,6.866685856041784,20.32857142857143,0.0,0.5071428571428571
w03-jan-scarcity,B4,114.4262033596112,163.8335755856931,553.4671954927496,0.9058856511676998,2.193826628556493,2.1336905755234366,7,3.6291409482202255,20.3,0.0,0.6142857142857143
w03-jan-scarcity,B5,76.46434473526854,126.40059310466236,764.2857142857143,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
w03-jan-scarcity,B6,166.23971428571429,255.50238567060592,871.4285714285714,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
w07-feb,B1,0.0,0.0,0.0,,0.0,0.0,0,0.0,21.37142857142857,0.0,0.0
w07-feb,B2,5.4807353297907495,13.00597334863026,242.33092722827897,0.8074519780840015,0.07195399648475964,-0.19188118716499208,13,11.790107502745002,21.214285714285715,0.0,0.06428571428571428
w07-feb,B3,5.304794245218413,9.05947380338763,125.44862290678307,0.9600329110190768,0.015336624753233703,-0.10368351354778237,6,5.35763395399006,21.228571428571428,0.0,0.05
w07-feb,B4,3.4007013214380537,5.895947431419448,67.44176166518733,0.9247614185259548,0.010594369608264822,-0.28019765694930704,3,0.5806629363497393,21.292857142857144,0.0,0.05
w07-feb,B5,-5.782816971080671,1.2370832357802943,1021.4285714285714,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
w07-feb,B6,0.8035714285714287,2.4725679632703224,71.42857142857143,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
w11-mar,B1,0.0,0.0,0.0,,0.0,0.0,0,0.0,21.607142857142858,0.0,0.0
w11-mar,B2,11.08007238147492,17.428658824288547,346.14668933187437,0.8919937165263278,0.22124290863513543,-0.8124959518831046,20,7.6855210296851055,21.27857142857143,0.0,0.14285714285714285
w11-mar,B3,5.943204190820234,8.463338079127027,150.48624715960975,0.9543192966646921,0.03588521305890021,-0.07105222916046376,1,1.5855763164720145,21.47142857142857,0.0,0.10714285714285714
w11-mar,B4,2.0688169265264715,6.0146789811160435,56.11371250972015,0.93242336905634,0.025406630010315814,-0.16613351406311846,1,1.2512211727035947,21.521428571428572,0.0,0.07142857142857142
w11-mar,B5,-3.316184034572735,3.9204679181675974,835.7142857142857,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
w11-mar,B6,5.0007142857142854,6.965871432194711,257.14285714285717,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
w14-apr-mild,B1,0.0,0.0,0.0,,0.0,0.0,0,0.0,21.571428571428573,0.0,0.0
w14-apr-mild,B2,10.575415131690647,13.929240511450796,295.88238485246796,0.8479743170763179,0.202784322142746,-1.8446312270446583,15,7.66859484484894,21.285714285714285,0.0,0.16428571428571428
