week,controller,mv_mean,mv_std,sum_q_kW,delivery_ratio,penalty_usd,rebound_usd,viol_days,viol_max_K,clip_events,switches,infeas
w03-jan-scarcity,B1,0.0,0.0,0.0,,0.0,0.0,7,0.014890552292726511,20.6,0.0,0.0
w03-jan-scarcity,B2,222.8515129646157,347.24342713873006,1219.8692438440482,0.9505704832450429,2.923940573812368,-0.11002898549650066,57,26.557048534454978,20.42142857142857,0.0,0.5357142857142857
w03-jan-scarcity,B3,58.096078242128364,82.2685060083061,185.749000673784,0.9811113898374566,0.1269863275076344,-1.1562614294014433,12,13.347774813253835,20.12857142857143,0.0,0.17857142857142858
w03-jan-scarcity,B4,0.0,0.0,0.0,,0.0,0.0,7,0.014890552292726511,20.6,0.0,0.0
w03-jan-scarcity,B5,76.46434473526854,126.40059310466236,764.2857142857143,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
w03-jan-scarcity,B6,166.23971428571429,255.50238567060592,871.4285714285714,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
w07-feb,B1,0.0,0.0,0.0,,0.0,0.0,7,0.014890552292726511,20.678571428571427,0.0,0.0
w07-feb,B2,4.09908521681434,16.07723336506079,275.18935803889303,0.9846184333746848,0.008147982086429195,-0.281410291535921,20,16.299510600623307,20.585714285714285,0.0,0.05714285714285714
w07-feb,B3,1.4295102071203882,4.015783097199525,26.84826942475281,1.0,0.0,0.09764478611413614,9,4.264710554380343,20.65,0.0,0.02142857142857143
w07-feb,B4,0.0,0.0,0.0,,0.0,0.0,7,0.014890552292726511,20.678571428571427,0.0,0.0
w07-feb,B5,-5.782816971080671,1.2370832357802943,1021.4285714285714,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
w07-feb,B6,0.8035714285714287,2.4725679632703224,71.42857142857143,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
w11-mar,B1,0.0,0.0,0.0,,0.0,0.0,13,0.8566214166447281,21.1,0.0,0.0
w11-mar,B2,8.51542573502033,23.206522087134115,350.25399318320115,0.9684057007378152,0.05514915643178767,-1.1702610476379611,30,19.434476516026507,20.521428571428572,0.0,0.14285714285714285
w11-mar,B3,1.328459977166989,2.046700065307096,6.198893064631375,1.0,0.0,-0.13146904511939558,7,0.014890552292726511,21.035714285714285,0.0,0.0
w11-mar,B4,0.0,0.0,0.0,,0.0,0.0,13,0.8566214166447281,21.1,0.0,0.0
w11-mar,B5,-3.316184034572735,3.9204679181675974,835.7142857142857,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
w11-mar,B6,5.0007142857142854,6.965871432194711,257.14285714285717,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
w14-apr-mild,B1,0.0,0.0,0.0,,0.0,0.0,10,1.1566214166447253,20.957142857142856,0.0,0.0
w14-apr-mild,B2,10.893552244343446,14.683900242703986,295.88238485246796,0.9783171106938721,0.03660820841945923,-2.1185315301998693,23,15.534427224374213,20.52857142857143,0.0,0.10714285714285714
w14-apr-mild,B3,1.55412746393767,2.7989830922775827,12.651811343548811,0.9836381699162315,0.0003163477725887905,0.18608031338548373,6,3.8017213091696362,20.85,0.0,0.05
w14-apr-mild,B4,0.0,0.0,0.0,,0.0,0.0,10,1.1566214166447253,20.957142857142856,0.0,0.0
w14-apr-mild,B5,-4.181067467112416,3.305373968009316,807.1428571428571,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
w14-apr-mild,B6,4.533857142857142,6.34164485002948,200.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
w20-may,B1,0.0,0.0,0.0,,0.0,0.0,21,2.7566214166447196,21.571428571428573,0.0,0.0
w20-may,B2,54.18838975725289,65.48545602726382,587.8436970693427,0.9449700987779877,0.779265241483879,-1.4709110007185435,41,26.412856828562198,21.12857142857143,0.0,0.2857142857142857
