kappa,F_kW,Ft30_kW,Ft15_kW
0.1,258.860142633586,124.50032259873946,124.50032259873946
0.25,258.860142633586,124.50032259873946,124.50032259873946
0.4,258.860142633586,124.50032259873946,124.50032259873946
0.5,258.860142633586,124.50032259873946,124.50032259873946
0.65,258.860142633586,92.38598610564233,124.50032259873946
0.8,258.860142633586,50.184540139923946,113.76938519047259
1.0,258.860142633586,0.0,0.0
