week,date,seed,controller,sum_q_kW,revenue_usd,rt_cost_usd,penalty_usd,degradation_usd,profit_usd,shortfall_kWh,delivery_ratio,n_obligations,n_delivery_failures,n_fail_warm_start,n_fail_out_of_box,n_fail_clean_in_box,n_warm_starts,T_viol_K,clip_events,mpc_switches,infeasible_starts,market_value_usd,rebound_energy_usd,kappa
mild,2024-04-01,4,B4,0.0,0.0,101.0704804630781,0.0,23.47071495744865,-124.54119542052675,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0
mild,2024-04-01,4,B5,950.0,7.651000000000001,1.913888888888889,0.0,0.0,-2.4820669710806698,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-2.4820669710806698,0.0,1.0
mild,2024-04-01,4,B6,500.0,10.027,15.0,0.0,0.0,-4.973000000000001,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-4.973000000000001,0.0,1.0
mild,2024-04-01,5,B1,0.0,0.0,101.5517437217299,0.0,23.71097574224272,-125.26271946397263,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0
mild,2024-04-01,5,B2,0.0,0.0,101.49367253023598,0.0,23.512047645965747,-125.00572017620173,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.25699928777089553,-0.058071191493922925,1.0
mild,2024-04-01,5,B3,0.0,0.0,101.5293495040382,0.0,23.634262332746136,-125.16361183678433,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.09910762718830313,-0.022394217691712015,1.0
mild,2024-04-01,5,B4,0.0,0.0,101.5517437217299,0.0,23.71097574224272,-125.26271946397263,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0
mild,2024-04-01,5,B5,950.0,7.651000000000001,1.4548611111111112,0.0,0.0,-2.0230391933028926,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-2.0230391933028926,0.0,1.0
mild,2024-04-01,5,B6,500.0,10.027,7.5,0.0,0.0,2.5269999999999992,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,2.5269999999999992,0.0,1.0
mild,2024-04-01,6,B1,0.0,0.0,101.25654466909593,0.0,25.632953098524347,-126.88949776762027,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0
mild,2024-04-01,6,B2,0.0,0.0,101.198473477602,0.0,25.490443974404002,-126.688917452006,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.2005803156142747,-0.058071191493937135,1.0
mild,2024-04-01,6,B3,0.0,0.0,101.23415045140418,0.0,25.553176008863378,-126.78732646026755,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.10217130735271951,-0.022394217691754648,1.0
mild,2024-04-01,6,B4,0.0,0.0,101.25654466909593,0.0,25.632953098524347,-126.88949776762027,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0
mild,2024-04-01,6,B5,950.0,7.651000000000001,1.0074305555555556,0.0,0.0,-1.5756086377473366,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-1.5756086377473366,0.0,1.0
mild,2024-04-01,6,B6,500.0,10.027,0.0,0.0,0.0,10.027,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,10.027,0.0,1.0
mild,2024-04-01,7,B1,0.0,0.0,100.23889554319814,0.0,18.999067085711477,-119.23796262890961,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0
mild,2024-04-01,7,B2,0.0,0.0,100.1808243517042,0.0,18.856557953951583,-119.03738230565578,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.20058032325383124,-0.058071191493937135,1.0
mild,2024-04-01,7,B3,0.0,0.0,100.21650132550639,0.0,18.91928999310444,-119.13579131861083,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.10217131029878601,-0.022394217691754648,1.0
mild,2024-04-01,7,B4,0.0,0.0,100.23889554319814,0.0,18.999067085711477,-119.23796262890961,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0
mild,2024-04-01,7,B5,950.0,7.651000000000001,1.1961111111111113,0.0,0.0,-1.7642891933028926,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-1.7642891933028926,0.0,1.0
