week,date,seed,controller,sum_q_kW,revenue_usd,rt_cost_usd,penalty_usd,degradation_usd,profit_usd,shortfall_kWh,delivery_ratio,n_obligations,n_delivery_failures,n_fail_warm_start,n_fail_out_of_box,n_fail_clean_in_box,n_warm_starts,T_viol_K,clip_events,mpc_switches,infeasible_starts,market_value_usd,rebound_energy_usd,source,scale
w03-jan-scarcity,2024-01-14,3,B4,231.50877821309433,3.1124234906758277,446.11813501294705,0.11616597003780535,122.5396762999347,-565.6615537922437,4.292903549068934,0.9290471565501282,1,1,1,0,0,1,0.004673244671010934,21,0,1,-4.318054857997026,-0.9234535600108984,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,3,B5,200.0,2.094,1.6756944444444444,0.0,0.0,-7.800872526636226,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-7.800872526636226,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,3,B6,300.0,4.088,7.5,0.0,0.0,-3.412,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-3.412,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,4,B1,0.0,0.0,452.31676147877755,0.0,115.13566145986863,-567.4524229386461,0.0,,0,0,0,0,0,0,0.0,24,0,0,0.0,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,4,B2,517.520285267172,6.955472633990791,451.6782375091253,0.0,106.00750668861279,-550.7302715637474,0.0,,0,0,0,0,0,0,0.0,23,0,0,16.722151374898772,-0.6385239696522262,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,4,B3,304.8663350172681,4.181093632670767,451.56749228740836,0.0,111.21095509574604,-558.5973537504836,0.0,,0,0,0,0,0,0,0.0,24,0,0,8.855069188162474,-0.7492691913691942,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,4,B4,231.50877821309433,3.1124234906758277,451.6782375091253,0.0,106.00750668861279,-554.5733207070623,0.0,,0,0,0,0,0,0,0.0,23,0,0,12.879102231583829,-0.6385239696522262,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,4,B5,200.0,2.094,0.0,0.0,0.0,-6.125178082191782,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-6.125178082191782,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,4,B6,300.0,4.088,0.0,0.0,0.0,4.088,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,4.088,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,5,B1,0.0,0.0,444.30086177091437,0.0,93.22349305986847,-537.5243548307828,0.0,,0,0,0,0,0,0,0.0,22,0,0,0.0,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,5,B2,517.520285267172,6.955472633990791,443.8661937469214,0.704826726928455,123.58933275770354,-561.2048805975626,26.398004753874723,0.7959654490432455,1,1,0,0,0,1,5.256749988320976,22,0,1,-23.680525766779738,-0.43466802399296967,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,5,B3,304.8663350172681,4.181093632670767,443.5733499860754,0.0,109.2283420857278,-548.6205984391324,0.0,1.0,1,0,0,0,0,0,1.2667360864723776,21,0,0,-11.096243608349596,-0.7275117848389527,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,5,B4,231.50877821309433,3.1124234906758277,443.6757761986985,0.0,99.07649576037363,-539.6398484683963,0.0,1.0,1,0,0,0,0,1,0.0,21,0,1,-2.11549363761344,-0.6250855722158803,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,5,B5,200.0,2.094,2.4202083333333335,0.0,0.0,-8.545386415525115,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-8.545386415525115,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,5,B6,300.0,4.088,7.5,0.0,0.0,-3.412,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-3.412,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,6,B1,0.0,0.0,455.1455560902415,0.0,166.8656392106045,-622.011195300846,0.0,,0,0,0,0,0,0,0.0,22,0,0,0.0,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,6,B2,517.520285267172,6.955472633990791,454.46227495901263,0.0,148.33900453647334,-595.8458068614952,0.0,,0,0,0,0,0,0,0.0,22,0,0,26.16538843935075,-0.6832811312288527,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,6,B3,304.8663350172681,4.181093632670767,454.08061578269275,1.1250683948456452,174.84063887307974,-625.8652294179474,40.18101410163018,0.5299538366574652,1,1,0,0,0,1,5.507475436526647,22,0,1,-3.854034117101378,-1.0649403075487385,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,6,B4,231.50877821309433,3.1124234906758277,454.46227495901263,0.0,148.33900453647334,-599.6888560048101,0.0,,0,0,0,0,0,0,0.0,22,0,0,22.32233929603592,-0.6832811312288527,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,6,B5,200.0,2.094,1.9079166666666665,0.0,0.0,-8.03309474885845,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-8.03309474885845,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,6,B6,300.0,4.088,7.5,0.0,0.0,-3.412,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-3.412,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,7,B1,0.0,0.0,434.61880595524985,0.0,70.11513176423537,-504.7339377194852,0.0,,0,0,0,0,0,0,0.0,21,0,0,0.0,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,7,B2,517.520285267172,6.955472633990791,434.3269776012085,0.0,96.59425672660824,-523.9657616938259,0.0,1.0,1,0,0,0,0,1,1.0478812578329553,20,0,1,-19.231823974340728,-0.29182835404134266,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,7,B3,304.8663350172681,4.181093632670767,433.8154628159888,0.02048814824932264,100.67823632187722,-530.3330936534446,0.7317195803329514,0.9951997351213507,2,1,0,0,0,1,0.0,19,0,1,-25.599155933959423,-0.8033431392610737,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,7,B4,231.50877821309433,3.1124234906758277,434.0765251538795,0.0,77.07003885821948,-508.0341405214232,0.0,1.0,1,0,0,0,0,1,0.0,19,0,1,-3.300202801937985,-0.5422808013703388,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,7,B5,200.0,2.094,4.328125,0.0,0.0,-10.453303082191782,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-10.453303082191782,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,7,B6,300.0,4.088,15.0,0.0,0.0,-10.911999999999999,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-10.911999999999999,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,8,B1,0.0,0.0,445.8841162446056,0.0,87.72953181156308,-533.6136480561687,0.0,,0,0,0,0,0,0,0.0,23,0,0,0.0,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,8,B2,517.520285267172,6.955472633990791,445.25533623044294,0.0,75.30546041705925,-513.6053240135114,0.0,,0,0,0,0,0,0,0.0,23,0,0,20.00832404265725,-0.6287800141626576,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,8,B3,304.8663350172681,4.181093632670767,445.1214708738695,0.0,82.94754551147078,-523.8879227526695,0.0,,0,0,0,0,0,0,0.0,23,0,0,9.725725303499189,-0.7626453707360952,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,8,B4,231.50877821309433,3.1124234906758277,445.25533623044294,0.0,75.30546041705925,-517.4483731568264,0.0,,0,0,0,0,0,0,0.0,23,0,0,16.165274899342307,-0.6287800141626576,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,8,B5,200.0,2.094,0.0,0.0,0.0,-6.125178082191782,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-6.125178082191782,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,8,B6,300.0,4.088,0.0,0.0,0.0,4.088,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,4.088,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,9,B1,0.0,0.0,439.37586560870943,0.0,68.58459524851719,-507.9604608572266,0.0,,0,0,0,0,0,0,0.0,19,0,0,0.0,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,9,B2,517.520285267172,6.955472633990791,439.02895774920967,0.10736703931164285,95.54313344211877,-527.7239855966493,4.021237427402354,0.9689191898993766,1,1,0,0,0,1,2.646662093219419,19,0,1,-19.763524739422678,-0.34690785949976544,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,9,B3,304.8663350172681,4.181093632670767,438.7599616529202,0.0,75.54102652286832,-510.11989454311777,0.0,1.0,1,0,0,0,0,0,0.0,18,0,0,-2.1594336858911447,-0.6159039557892356,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,9,B4,231.50877821309433,3.1124234906758277,438.8205372834885,0.0,73.08571734415902,-508.7938311369717,0.0,1.0,1,0,0,0,0,1,0.0,18,0,1,-0.8333702797450542,-0.5553283252209553,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,9,B5,200.0,2.094,2.4202083333333335,0.0,0.0,-8.545386415525115,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-8.545386415525115,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,9,B6,300.0,4.088,7.5,0.0,0.0,-3.412,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-3.412,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,10,B1,0.0,0.0,440.7386510799014,0.0,99.35267756223148,-540.0913286421329,0.0,,0,0,0,0,0,0,0.0,20,0,0,0.0,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,10,B2,517.520285267172,6.955472633990791,440.05087251516983,0.0,97.08619501017779,-530.1815948913568,0.0,,0,0,0,0,0,0,0.0,21,0,0,9.909733750776127,-0.6877785647315591,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,10,B3,304.8663350172681,4.181093632670767,439.9273330145033,0.0,92.12306705554468,-527.8693064373772,0.0,,0,0,0,0,0,0,0.0,20,0,0,12.222022204755717,-0.8113180653980976,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,10,B4,231.50877821309433,3.1124234906758277,440.05087251516983,0.0,97.08619501017779,-534.0246440346718,0.0,,0,0,0,0,0,0,0.0,21,0,0,6.06668460746107,-0.6877785647315591,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,10,B5,200.0,2.094,0.0,0.0,0.0,-6.125178082191782,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-6.125178082191782,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,10,B6,300.0,4.088,0.0,0.0,0.0,4.088,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,4.088,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,11,B1,0.0,0.0,442.20877492843266,0.0,74.72829048702388,-516.9370654154566,0.0,,0,0,0,0,0,0,0.0,22,0,0,0.0,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,11,B2,517.520285267172,6.955472633990791,441.05137722814493,0.911069149979324,87.68430363836521,-522.6912773824987,33.66848299997502,0.7397707184939155,1,1,0,0,0,1,3.1050712843765496,22,0,1,-5.754211967042124,-1.1573977002877314,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,11,B3,304.8663350172681,4.181093632670767,441.42051272712274,0.0,60.26319957845461,-497.5026186729066,0.0,,0,0,0,0,0,0,0.0,22,0,0,19.434446742549994,-0.7882622013099194,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,11,B4,231.50877821309433,3.1124234906758277,441.2642459295357,0.13886410735091018,73.09579507331273,-511.3864816195235,5.131711284216932,0.9151833943583582,1,1,1,0,0,1,0.0,22,0,1,5.550583795933051,-0.9445289988969421,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,11,B5,200.0,2.094,1.957361111111111,0.0,0.0,-8.082539193302892,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-8.082539193302892,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,11,B6,300.0,4.088,7.5,0.0,0.0,-3.412,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-3.412,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,12,B1,0.0,0.0,452.74838508955537,0.0,128.18935429970008,-580.9377393892555,0.0,,0,0,0,0,0,0,0.0,23,0,0,0.0,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,12,B2,517.520285267172,6.955472633990791,452.328913246315,0.6084945793097606,154.2255279252931,-600.2074631169271,22.7900591501783,0.8238518581862905,1,1,0,0,0,1,2.810364463766234,23,0,1,-19.26972372767159,-0.41947184324038744,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,12,B3,304.8663350172681,4.181093632670767,452.05602294445606,0.0,136.44920687626242,-584.3241361880478,0.0,1.0,1,0,0,0,0,0,0.0,22,0,0,-3.386396798792248,-0.6923621450993096,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,12,B4,231.50877821309433,3.1124234906758277,452.13044644572807,0.0,131.5882048991927,-580.6062278542449,0.0,1.0,1,0,0,0,0,1,0.0,22,0,1,0.33151153501057706,-0.6179386438273013,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,12,B5,200.0,2.094,2.4202083333333335,0.0,0.0,-8.545386415525115,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-8.545386415525115,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,12,B6,300.0,4.088,7.5,0.0,0.0,-3.412,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-3.412,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,13,B1,0.0,0.0,436.15129607278897,0.0,62.81025999380468,-498.96155606659363,0.0,,0,0,0,0,0,0,0.0,20,0,0,0.0,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,13,B2,517.520285267172,6.955472633990791,435.4982636591363,0.0,53.63019639942143,-482.17298742456694,0.0,,0,0,0,0,0,0,0.0,19,0,0,16.78856864202669,-0.6530324136526815,alibaba_jobaware,1.0
