week,date,seed,controller,sum_q_kW,revenue_usd,rt_cost_usd,penalty_usd,degradation_usd,profit_usd,shortfall_kWh,delivery_ratio,n_obligations,n_delivery_failures,n_fail_warm_start,n_fail_out_of_box,n_fail_clean_in_box,n_warm_starts,T_viol_K,clip_events,mpc_switches,infeasible_starts,market_value_usd,rebound_energy_usd,kappa
mild,2024-04-01,0,B1,0.0,0.0,101.63072901683245,0.0,5.84700273319549,-107.47773175002794,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.5
mild,2024-04-01,0,B2,0.0,0.0,101.57265782533851,0.0,5.844459037996357,-107.41711686333487,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.0606148866930738,-0.058071191493937135,0.5
mild,2024-04-01,0,B3,0.0,0.0,101.60833479914072,0.0,5.846021798198888,-107.45435659733961,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.023375152688331013,-0.022394217691726226,0.5
mild,2024-04-01,0,B4,0.0,0.0,101.63072901683245,0.0,5.84700273319549,-107.47773175002794,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.5
mild,2024-04-01,0,B5,950.0,7.651000000000001,0.0,0.0,0.0,-0.568178082191781,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-0.568178082191781,0.0,0.5
mild,2024-04-01,0,B6,500.0,10.027,0.0,0.0,0.0,10.027,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,10.027,0.0,0.5
mild,2024-04-01,1,B1,0.0,0.0,101.70084992934699,0.0,6.930978767773067,-108.63182869712006,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.5
mild,2024-04-01,1,B2,0.0,0.0,101.64277873785305,0.0,6.8670967233925015,-108.50987546124556,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.12195323587449991,-0.058071191493937135,0.5
mild,2024-04-01,1,B3,0.0,0.0,101.67845571165525,0.0,6.906343688456664,-108.5847994001119,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.047029297008151616,-0.022394217691740437,0.5
mild,2024-04-01,1,B4,0.0,0.0,101.70084992934699,0.0,6.930978767773067,-108.63182869712006,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.5
