week,date,seed,controller,sum_q_kW,revenue_usd,rt_cost_usd,penalty_usd,degradation_usd,profit_usd,shortfall_kWh,delivery_ratio,n_obligations,n_delivery_failures,n_fail_warm_start,n_fail_out_of_box,n_fail_clean_in_box,n_warm_starts,n_safety_episodes,n_safety_episodes_in_safe_box,safety_episode_max_K,T_viol_K,clip_events,mpc_switches,infeasible_starts,market_value_usd,rebound_energy_usd,source,scale
w03-jan-scarcity,2024-01-14,3,B3,248.8006451974789,3.4023488230755246,446.36670275376514,0.0,96.65015188446893,-539.6145058151585,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,22,0,0,14.107791555368522,-0.8125513769536497,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,3,B4,215.53909605485802,2.8968327259668514,446.2718970923897,0.0,114.14856903191992,-557.5236333983428,0.0,1.0,1,0,0,0,0,1,0,0,0.0,0.0,21,0,1,-3.8013360278157506,-0.9073570383291099,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,3,B5,200.0,2.094,1.6756944444444444,0.0,0.0,-7.800872526636226,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,-7.800872526636226,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,3,B6,300.0,4.088,7.5,0.0,0.0,-3.412,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,-3.412,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,4,B1,0.0,0.0,452.4989665750006,0.0,106.95486492888486,-559.4538315038855,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,24,0,0,0.0,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,4,B2,517.520285267172,6.955472633990791,451.83528805860766,0.0,98.84454973216725,-543.7243651567842,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,23,0,0,15.729466347101265,-0.663678516392963,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,4,B3,248.8006451974789,3.4023488230755246,451.7353195418452,0.0,104.01194564730599,-552.3449163660757,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,24,0,0,7.108915137809731,-0.7636470331554506,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,4,B4,215.53909605485802,2.8968327259668514,451.83528805860766,0.0,98.84454973216725,-547.7830050648081,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,23,0,0,11.67082643907736,-0.663678516392963,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,4,B5,200.0,2.094,0.0,0.0,0.0,-6.125178082191782,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,-6.125178082191782,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,4,B6,300.0,4.088,0.0,0.0,0.0,4.088,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,4.088,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,5,B1,0.0,0.0,444.1241648382297,0.0,85.44471307333835,-529.568877911568,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,22,0,0,0.0,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,5,B2,517.520285267172,6.955472633990791,443.6239606367182,0.7961218057057575,114.07420888270698,-551.5388186911401,29.817296093848597,0.7695371799506928,1,1,0,0,0,1,0,0,0.0,4.31949041291324,22,0,1,-21.969940779572084,-0.500204201511508,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,5,B3,248.8006451974789,3.4023488230755246,443.3701820850537,0.0,101.464198233933,-541.4320314959112,0.0,1.0,1,0,0,0,0,0,0,0,0.0,1.1418615729411954,22,0,0,-11.863153584343195,-0.7539827531759897,alibaba_jobaware,1.0
