week,controller,mv_mean,mv_std,sum_q_kW,delivery_ratio,penalty_usd,rebound_usd,viol_days,viol_max_K,clip_events,switches,infeas
humid,B1,0.0,0.0,0.0,,0.0,0.0,0,0.0,6.642857142857143,0.0,0.0
humid,B2,243.6589679600502,191.26788641323915,347.870066229188,0.9575790184815091,1.3999095145736864,1.4477253532294894,73,6.1610910316010745,9.157142857142857,0.6428571428571429,0.5142857142857142
humid,B3,74.72829369097052,66.73832500143757,85.78864596059229,1.0,0.0,-0.9185854565890421,0,0.0,7.578571428571428,0.44285714285714284,0.30714285714285716
humid,B4,39.94934821488607,40.55162991706854,44.34757408301553,1.0,0.0,-0.01047541304654597,0,0.0,7.128571428571429,0.3142857142857143,0.18571428571428572
humid,B5,274.5689032670146,213.2661348703258,792.8571428571429,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
humid,B6,583.9532857142858,458.05302361384776,1028.5714285714287,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
mild,B1,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.20714285714285716,0.0,0.0
mild,B2,2.1136681525774046,4.306518868348225,55.69126378867751,0.9737232061675611,0.014659206336810175,-0.38752881251530474,10,5.458129878506284,0.8642857142857143,0.06428571428571428,0.05
mild,B3,0.9672979314427993,2.011143208494183,18.349870179201275,1.0,0.0,-0.4003523424716964,0,0.0,0.7714285714285715,0.07142857142857142,0.06428571428571428
mild,B4,1.0055860642056547,1.5937509077578778,19.712391890478546,1.0,0.0,-0.4206362807672889,0,0.0,0.7785714285714286,0.05,0.05
mild,B5,-4.181067467112416,3.305373968009316,807.1428571428571,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
mild,B6,4.533857142857142,6.34164485002948,200.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
scarcity,B1,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,0.0,0.0
scarcity,B2,78.42921302135764,121.7770110541474,354.59805538361996,0.9849227428855322,0.26448523411771163,-0.7551484043616118,39,6.342427594137575,3.857142857142857,0.35,0.19285714285714287
scarcity,B3,30.639607644275696,47.30878466443502,178.4194642236729,1.0,0.0,-0.7483589406399083,1,0.3227043827225913,4.142857142857143,0.35714285714285715,0.2571428571428571
scarcity,B4,34.31910376482379,52.45281718495636,165.5821125099778,1.0,0.0,-0.7222296618301101,0,0.0,4.285714285714286,0.4142857142857143,0.3142857142857143
scarcity,B5,76.46434473526854,126.40059310466236,764.2857142857143,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
scarcity,B6,166.23971428571429,255.50238567060592,871.4285714285714,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
