bin,F_nom_kW,F_ready_kW,Ft_cond_nom_kW,Ft_cond_ready_kW,Ft_cond05_ready_kW,Ft_uniform_ready_kW,Ft_pooled_ready_kW
dry-calm,66.05621676901693,92.67406130489621,18.006160007492305,44.62400494494168,41.66146901017359,-inf,25.74698157933732
dry-bursty,66.05621676901693,92.67406130489621,-inf,20.57620364617968,-inf,-inf,25.74698157933732
humid-calm,66.05621619621625,69.85876557381704,-inf,-inf,-inf,-inf,-inf
humid-bursty,66.05621619621625,69.85876557381704,-inf,-inf,-inf,-inf,-inf
