controller,sum_q_kW,revenue_usd,rt_cost_usd,penalty_usd,degradation_usd,profit_usd,shortfall_kWh,max_T_j,mpc_switches,infeasible_starts
B1,0.0,0.0,6291.645098350948,52.616705830157656,12.44849717619639,-6356.710301357302,30.547759131815962,77.87523234896413,0,0
B2,706.8374123901677,1062.6207422915606,6196.673973457602,52.30248578285193,23.388052724661765,-5209.743769673556,30.339390400180868,89.00827555330359,1,1
B3,117.70058536010646,113.10408047082097,6240.143060280379,52.30248578285193,16.914835996719304,-6196.25630158913,30.339390400180868,77.87523234896413,1,1
B4,0.0,0.0,6291.645098350948,52.616705830157656,12.44849717619639,-6356.710301357302,30.547759131815962,77.87523234896413,0,0
